no,name,ip_address,card_resder_id,dcc_code,card_reader_ip,screen_inch,toggles,scanner,card-reader,paper_printer,rfid-label-printer,light-tower
1,Mold Staging,172.18.6.33,1,DCC001,172.18.6.1,15 inch,,Yes,Yes,,,
2,Mold Preparation,172.18.6.34,2,DCC002,172.18.6.2,27 inch,,Yes,Yes,,,
3,Gelcoat Curing,172.18.6.35,3,DCC003,172.18.6.3,32 inch,,Yes,Yes,,,
4,Closed Molding Laminate Cure- VI,172.18.6.36,4,DCC004,172.18.6.4,32 inch,,Yes,Yes,,,
5,Demolding- Closed Molding,172.18.6.37,5,DCC005,172.18.6.5,24 inch,,Yes,Yes,,,
6,Hand Lamination,172.18.6.38,6,DCC006,172.18.6.6,32 inch,Yes,Yes,Yes,,,
7,Hand Lamination,172.18.6.39,7,DCC007,172.18.6.7,33 inch,Yes,Yes,Yes,,,
8,Hand Lamination- Laminate Curing ,172.18.6.40,8,DCC008,172.18.6.8,32 inch,,Yes,Yes,,,
9,Demolding- Open Molding,172.18.6.41,9,DCC009,172.18.6.9,24 inch,,Yes,Yes,,,
10,Trimming,172.18.6.42,10,DCC010,172.18.6.10,15 inch,,Yes,Yes,,,
11,Drilling,172.18.6.43,11,DCC011,172.18.6.11,24 inch,Yes,Yes,Yes,,,
12,Super Market After demolding,172.18.6.44,12,DCC012,172.18.6.12,42 inch,,Yes,Yes,,,
13,In-Mold Bonding ,172.18.6.45,13,DCC013,172.18.6.13,27 inch,,Yes,Yes,,,
14,Bonding,172.18.6.46,14,DCC014,172.18.6.14,27 inch,,Yes,Yes,,,
15,Over Lamination,172.18.6.47,15,DCC015,172.18.6.15,27 inch,Yes,Yes,Yes,,,
16,Paint Preparation,172.18.6.48,16,DCC016,172.18.6.16,27 inch,Yes,Yes,Yes,,,
17,Super Market before primer,172.18.6.49,17,DCC017,172.18.6.17,42 inch,,Yes,Yes,,,
18,Primer Oven Curing,172.18.6.50,18,DCC018,172.18.6.18,27 inch,,Yes,Yes,,,
19,Super Market before painting,172.18.6.51,19,DCC019,172.18.6.19,42 inch,,Yes,Yes,,,
20,Paint Curing Inside the Booth,172.18.6.52,20,DCC020,172.18.6.20,27 inch,,Yes,Yes,,,
21,Super Market before final assembly,172.18.6.53,21,DCC021,172.18.6.21,42 inch,,Yes,Yes,,,
22,Finished Goods,172.18.6.54,22,DCC022,172.18.6.22,42 inch,,Yes,Yes,,,
23,Gelcoating ,172.18.6.55,23,DCC023,172.18.6.23,32 inch,Yes,Yes,Yes,,,
24,Vacuum Infusion- Consumable- Fiber Loading,172.18.6.56,24,DCC024,172.18.6.24,15 inch,Yes,Yes,Yes,,,
25,Vacuum Infusion- Consumable- Laying ,172.18.6.57,25,DCC025,172.18.6.25,15 inch,,Yes,Yes,,,
26,Vacuum Infusion- Consumable- Leak Test +Infusion ,172.18.6.58,26,DCC026,172.18.6.26,15 inch,,Yes,Yes,,,
27,Primer Booth,172.18.6.59,27,DCC027,172.18.6.27,27 inch,,Yes,Yes,,,
28,Painting Booth (Includes Flash Off) ,172.18.6.60,28,DCC028,172.18.6.28,27 inch,,Yes,Yes,,,
29,Paint Buffing ,172.18.6.61,29,DCC029,172.18.6.29,24 inch,Yes,Yes,Yes,,,
30,Paint Buffing ,172.18.6.62,30,DCC030,172.18.6.30,24 inch,Yes,Yes,Yes,,,
31,Final Assembly (FA) ,172.18.6.63,31,DCC031,172.18.6.31,32 inch,,Yes,Yes,,,
32,Final Assembly (FA) ,172.18.6.64,32,DCC032,172.18.6.32,32 inch,,Yes,Yes,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
